title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13
Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning,"[Alex J. Gutman,Jordan Goldmeier]",24.49,272,4.6,184,0.74,0.18,0.05,0.02,0.01,6 x 0.62 x 9 inches,12.5 ounces,English,Wiley; 1st edition (April 23 2021),978-1119741749
Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street,"[Nick Singh,Kevin Huo]",26,301,4.5,599,0.77,0.1,0.06,0.03,0.04,7 x 0.68 x 10 inches,1.28 pounds,English,Ace the Data Science Interview (August 16 2021),978-0578973838
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"[Joe Reis,Matt Housley]",50.76,446,5,33,0.96,0.04,0,0,0,7 x 1 x 9.25 inches,1.57 pounds,English,OReilly Media; 1st edition (July 26 2022),978-1098108304
Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics,[Thomas Nield],44.8,347,4.5,27,0.79,0.05,0.05,0.05,0.05,7 x 0.75 x 9 inches,1.23 pounds,English,OReilly Media; 1st edition (July 5 2022),978-1098102937
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"[Foster Provost,Tom Fawcett]",36.99,413,4.5,970,0.71,0.15,0.08,0.03,0.03,7 x 0.9 x 9.19 inches,1.5 pounds,English,OReilly Media; 1st edition (September 17 2013),978-1449361327
Data Science from Scratch: First Principles with Python,[Joel Grus],45.22,406,4.4,594,0.65,0.19,0.08,0.04,0.04,6.9 x 0.9 x 9.1 inches,1.4 pounds,English,OReilly Media; 2nd edition (May 16 2019),978-1492041139
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"[Peter Bruce,Andrew Bruce et al.]",24.88,368,4.6,655,0.76,0.14,0.06,0.02,0.02,7 x 0.9 x 9.1 inches,1.3 pounds,English,OReilly Media; 2nd edition (June 2 2020),978-1492072942
Python for Data Science: A Hands-On Introduction,[Yuli Vasiliev],28.49,240,4.3,6,0.78,0.22,0,0,0,7 x 0.71 x 9.25 inches,13 ounces,English,No Starch Press (August 2 2022),978-1718502208
Data Science (The MIT Press Essential Knowledge series),,9.61,280,4.5,383,0.68,0.21,0.06,0.03,0.02,5 x 0.57 x 6.9 inches,8.8 ounces,English,The MIT Press; Illustrated edition (April 13 2018),978-0262535434
Data Science For Dummies (For Dummies (Computer/Tech)),[Lillian Pierson],25.49,432,4.6,35,0.73,0.17,0.1,0,0,7.3 x 1 x 9.1 inches,1.35 pounds,English,For Dummies; 3rd edition (September 1 2021),978-1119811558
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,[Newton Alex],49.99,574,4.1,16,0.56,0.28,0.16,0,0,7.5 x 1.3 x 9.25 inches,2.15 pounds,English,Packt Publishing (February 28 2022),978-1801816069
Data Pipelines with Apache Airflow,"[Bas P. Harenslak,Julian Rutger de Ruiter]",47.62,480,4.7,44,0.77,0.16,0.03,0.04,0,7.38 x 1.4 x 9.25 inches,1.9 pounds,English,Manning (April 27 2021),978-1617296901
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,[Nathan George],51.99,620,4.7,21,0.82,0.08,0.09,0,0,7.5 x 1.4 x 9.25 inches,2.31 pounds,English,Packt Publishing (September 30 2021),978-1801071970
Data Science on AWS: Implementing End-to-End Continuous AI and Machine Learning Pipelines,"[Chris Fregly,Antje Barth]",31.99,521,4.4,135,0.7,0.14,0.05,0.07,0.04,7 x 1.05 x 9.19 inches,1.82 pounds,English,OReilly Media; 1st edition (May 11 2021),978-1492079392
Data Analysis for Business Economics and Policy,"[GÃ¡bor BÃ©kÃ©s,GÃ¡bor KÃ©zdi]",61.74,738,4.4,26,0.7,0.13,0.06,0.06,0.05,7.5 x 1.74 x 9.25 inches,3.51 pounds,English,Cambridge University Press (May 6 2021),978-1108716208
Hands-On Data Analysis with Pandas: A Python data science handbook for data collection wrangling analysis and visualization 2nd Edition,"[Stefanie Molin,Ken Jee]",35.67,788,4.3,64,0.67,0.18,0.04,0.04,0.07,7.5 x 1.78 x 9.25 inches,2.93 pounds,English,Packt Publishing; 2nd ed. edition (April 29 2021),978-1800563452
Business Data Science: Combining Machine Learning and Economics to Optimize Automate and Accelerate Business Decisions,[Matt Taddy],33.43,352,4.5,143,0.76,0.11,0.04,0.03,0.07,1.19 x 7.38 x 9.25 inches,1.62 pounds,English,McGraw Hill; 1st edition (August 21 2019),978-1260452778
The Art of Statistics: How to Learn from Data,[David Spiegelhalter],17.99,448,4.6,2764,0.73,0.19,0.05,0.01,0.01,5.4 x 1.3 x 8.2 inches,13.6 ounces,English,Basic Books (August 17 2021),978-1541675704
Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python R and command-line tools,[David Mertz],39.99,498,4.8,27,0.92,0.08,0,0,0,7.5 x 1.13 x 9.25 inches,1.85 pounds,English,Packt Publishing (March 31 2021),978-1801071291
Everything Data Analytics-A Beginners Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics Data Visualization and Communicating Data),,14.49,148,4.2,17,0.55,0.24,0.13,0.08,0,5.5 x 0.37 x 8.5 inches,8.8 ounces,English,Kenneth Michael Fornari (May 24 2022),978-1777967130
Effective Data Science Infrastructure: How to make data scientists productive,[Ville Tuulos],49.99,352,5,5,1,0,0,0,0,7.38 x 0.8 x 9.25 inches,1.15 pounds,English,Manning (August 16 2022),978-1617299193
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,[Alex Gorelik],40.1,224,4.3,71,0.59,0.21,0.11,0.05,0.04,7 x 0.4 x 9.1 inches,11.2 ounces,English,OReilly Media; 1st edition (March 21 2019),978-1491931554
Data-Driven Science and Engineering: Machine Learning Dynamical Systems and Control,"[Steven L. Brunton,J. Nathan Kutz]",58.49,614,4.6,14,0.9,0.1,0,0,0,7.1 x 1.1 x 10.1 inches,3.1 pounds,English,Cambridge University Press; 2nd edition (July 28 2022),978-1009098489
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,[Yoon Hyup Hwang],44.99,464,4.3,63,0.59,0.23,0.09,0.06,0.03,7.5 x 1.05 x 9.25 inches,1.74 pounds,English,Packt Publishing (March 29 2019),978-1789346343
Be Data Driven: How Organizations Can Harness the Power of Data,[Jordan Morrow],34.99,240,5,1,1,0,0,0,0,6.14 x 0.55 x 9.21 inches,12 ounces,English,Kogan Page; 1st edition (August 30 2022),978-1398606128
Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning 2nd Edition,[Stephen Klosterman],36.99,432,4.6,52,0.79,0.13,0.04,0.05,0,7.5 x 0.98 x 9.25 inches,1.63 pounds,English,Packt Publishing; 2nd ed. edition (July 29 2021),978-1800564480
